Processing file: /Users/adityamagarde/Documents/UCR/CS240_NR/AnamolyDetection/scripts/data_proc/final_csvs/type1_labelwise_nans_avg_labelled_merged.csv
Row numbers with NaN values: []
Initial check for NaN values: False
Initial check for Infinite values: False
After scaling, NaN values in X: False
After scaling, Infinite values in X: False
Epoch 126: {'accuracy': 0.9612950682640076, 'loss': 0.10769753158092499, 'val_accuracy': 0.916077196598053, 'val_loss': 0.2301066517829895}
Epoch 127: {'accuracy': 0.9608859419822693, 'loss': 0.10826681554317474, 'val_accuracy': 0.9202572107315063, 'val_loss': 0.21249732375144958}
Epoch 128: {'accuracy': 0.961213231086731, 'loss': 0.10714664310216904, 'val_accuracy': 0.9196141362190247, 'val_loss': 0.2337685376405716}
Epoch 129: {'accuracy': 0.9612950682640076, 'loss': 0.11116435378789902, 'val_accuracy': 0.9135048389434814, 'val_loss': 0.24494010210037231}
Epoch 130: {'accuracy': 0.9614042043685913, 'loss': 0.10633595287799835, 'val_accuracy': 0.916077196598053, 'val_loss': 0.2500069737434387}
Epoch 131: {'accuracy': 0.961104154586792, 'loss': 0.10944737493991852, 'val_accuracy': 0.9147909879684448, 'val_loss': 0.2391667664051056}
Epoch 132: {'accuracy': 0.9619770050048828, 'loss': 0.10506502538919449, 'val_accuracy': 0.9135048389434814, 'val_loss': 0.2359314113855362}
Epoch 133: {'accuracy': 0.9634771943092346, 'loss': 0.10203367471694946, 'val_accuracy': 0.924115777015686, 'val_loss': 0.2106291502714157}
Epoch 134: {'accuracy': 0.9615132808685303, 'loss': 0.10493262857198715, 'val_accuracy': 0.9244372844696045, 'val_loss': 0.20195402204990387}
Epoch 135: {'accuracy': 0.9628225564956665, 'loss': 0.1026092991232872, 'val_accuracy': 0.9125401973724365, 'val_loss': 0.24381332099437714}
Epoch 136: {'accuracy': 0.9624679684638977, 'loss': 0.10368829220533371, 'val_accuracy': 0.9054662585258484, 'val_loss': 0.2527758479118347}
Epoch 137: {'accuracy': 0.9631498456001282, 'loss': 0.10178490728139877, 'val_accuracy': 0.9244372844696045, 'val_loss': 0.2179812341928482}
Epoch 138: {'accuracy': 0.9628225564956665, 'loss': 0.10291218012571335, 'val_accuracy': 0.9247588515281677, 'val_loss': 0.22740650177001953}
