Processing file: /Users/adityamagarde/Documents/UCR/CS240_NR/AnamolyDetection/scripts/data_proc/final_csvs/type1_labelwise_nans_avg_labelled_merged.csv
Row numbers with NaN values: []
Initial check for NaN values: False
Initial check for Infinite values: False
After scaling, NaN values in X: False
After scaling, Infinite values in X: False
Epoch 122: {'accuracy': 0.8524357676506042, 'loss': 0.33301469683647156, 'val_accuracy': 0.800000011920929, 'val_loss': 0.3911416530609131}
Epoch 123: {'accuracy': 0.8537722826004028, 'loss': 0.32897916436195374, 'val_accuracy': 0.7926045060157776, 'val_loss': 0.39533042907714844}
Epoch 124: {'accuracy': 0.852899432182312, 'loss': 0.33004030585289, 'val_accuracy': 0.784887433052063, 'val_loss': 0.4137994349002838}
Epoch 125: {'accuracy': 0.8513992428779602, 'loss': 0.3331795334815979, 'val_accuracy': 0.7987138032913208, 'val_loss': 0.3977370262145996}
Epoch 126: {'accuracy': 0.8535540699958801, 'loss': 0.3297889828681946, 'val_accuracy': 0.7948552966117859, 'val_loss': 0.4016948938369751}
Epoch 127: {'accuracy': 0.8536359071731567, 'loss': 0.330176442861557, 'val_accuracy': 0.7974276542663574, 'val_loss': 0.3875269293785095}
Epoch 128: {'accuracy': 0.8519720435142517, 'loss': 0.33077624440193176, 'val_accuracy': 0.8057878017425537, 'val_loss': 0.3908940851688385}
Epoch 129: {'accuracy': 0.8535813689231873, 'loss': 0.3300994634628296, 'val_accuracy': 0.8070739507675171, 'val_loss': 0.3616820275783539}
Epoch 130: {'accuracy': 0.8545905947685242, 'loss': 0.32840627431869507, 'val_accuracy': 0.8064308762550354, 'val_loss': 0.3699314296245575}
Epoch 131: {'accuracy': 0.8552452325820923, 'loss': 0.33890780806541443, 'val_accuracy': 0.7996784448623657, 'val_loss': 0.39280760288238525}
Epoch 132: {'accuracy': 0.8556816577911377, 'loss': 0.32799211144447327, 'val_accuracy': 0.7813504934310913, 'val_loss': 0.4353809654712677}
Epoch 133: {'accuracy': 0.8552997708320618, 'loss': 0.32641032338142395, 'val_accuracy': 0.808038592338562, 'val_loss': 0.36568397283554077}
Epoch 134: {'accuracy': 0.8550270199775696, 'loss': 0.32729238271713257, 'val_accuracy': 0.8035369515419006, 'val_loss': 0.3789255917072296}
Epoch 135: {'accuracy': 0.8564999103546143, 'loss': 0.3284379541873932, 'val_accuracy': 0.7977492213249207, 'val_loss': 0.3903224468231201}
Epoch 136: {'accuracy': 0.855463445186615, 'loss': 0.32633644342422485, 'val_accuracy': 0.7974276542663574, 'val_loss': 0.394003689289093}
Epoch 137: {'accuracy': 0.8567726612091064, 'loss': 0.3268720805644989, 'val_accuracy': 0.8025723695755005, 'val_loss': 0.37345266342163086}
Epoch 138: {'accuracy': 0.8554361462593079, 'loss': 0.3257642984390259, 'val_accuracy': 0.7964630126953125, 'val_loss': 0.3964763879776001}
Epoch 139: {'accuracy': 0.8550270199775696, 'loss': 0.32902613282203674, 'val_accuracy': 0.8090032339096069, 'val_loss': 0.3797230124473572}
Epoch 140: {'accuracy': 0.8568817973136902, 'loss': 0.3232559859752655, 'val_accuracy': 0.8025723695755005, 'val_loss': 0.3848859369754791}
Epoch 141: {'accuracy': 0.8553270697593689, 'loss': 0.3296264111995697, 'val_accuracy': 0.8115755915641785, 'val_loss': 0.3689897060394287}
Epoch 142: {'accuracy': 0.8571000099182129, 'loss': 0.3230411112308502, 'val_accuracy': 0.7958199381828308, 'val_loss': 0.4003751575946808}
Epoch 143: {'accuracy': 0.8575909733772278, 'loss': 0.322321355342865, 'val_accuracy': 0.7762057781219482, 'val_loss': 0.4328303337097168}
Epoch 144: {'accuracy': 0.8551088571548462, 'loss': 0.32293203473091125, 'val_accuracy': 0.7980707287788391, 'val_loss': 0.3962010443210602}
Epoch 145: {'accuracy': 0.8572090864181519, 'loss': 0.3236793577671051, 'val_accuracy': 0.8035369515419006, 'val_loss': 0.3677230775356293}
Epoch 146: {'accuracy': 0.8574272990226746, 'loss': 0.3248731195926666, 'val_accuracy': 0.8067523837089539, 'val_loss': 0.376873642206192}
